event_id,slug,match,start_time_utc,team_a,team_b,outcome,market_id,market_question,market_yes_price,market_no_vig_probability,model_probability,calibrated_probability,edge,ev_per_dollar,full_kelly_fraction,deploy_fraction,deploy_amount,max_loss,profit_if_win,best_bid,best_ask,model_pick,market_pick,recommended
351767,fifwc-cze-mex-2026-06-24,Czechia vs. Mexico,2026-06-25T01:00:00Z,Czech Republic,Mexico,Mexico,1897299,Will Mexico win on 2026-06-24?,0.545,0.542289,0.541542,0.543487,-0.001513,-0.002777,0.0,0,0.0,0.0,0,0.54,0.55,Mexico,Mexico,PASS
351768,fifwc-rsa-kr-2026-06-24,South Africa vs. Korea Republic,2026-06-25T01:00:00Z,South Africa,South Korea,South Africa,1897303,Will South Africa win on 2026-06-24?,0.155,0.154229,0.116884,0.138319,-0.016681,-0.107623,0.0,0,0.0,0.0,0,0.15,0.16,South Korea,South Korea,PASS
351768,fifwc-rsa-kr-2026-06-24,South Africa vs. Korea Republic,2026-06-25T01:00:00Z,South Africa,South Korea,Draw,1897305,Will South Africa vs. Korea Republic end in a draw?,0.225,0.223881,0.118677,0.178467,-0.046533,-0.206812,0.0,0,0.0,0.0,0,0.22,0.23,South Korea,South Korea,PASS
351768,fifwc-rsa-kr-2026-06-24,South Africa vs. Korea Republic,2026-06-25T01:00:00Z,South Africa,South Korea,South Korea,1897306,Will Korea Republic win on 2026-06-24?,0.625,0.621891,0.764439,0.686026,0.061026,0.097641,0.162736,0.02,20.0,20.0,12.0,0.62,0.63,South Korea,South Korea,YES
351770,fifwc-kor-civ-2026-06-25,Curaçao vs. Côte d'Ivoire,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,Curaçao,1897320,Will Curaçao win on 2026-06-25?,0.075,0.073892,0.247284,0.150401,0.075401,1.00534,0.081514,0.02,20.0,20.0,246.67,0.07,0.08,Ivory Coast,Ivory Coast,YES
351770,fifwc-kor-civ-2026-06-25,Curaçao vs. Côte d'Ivoire,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,Draw,1897322,Will Curaçao vs. Côte d'Ivoire end in a draw?,0.145,0.142857,0.174536,0.157927,0.012927,0.08915,0.015119,0.00378,3.78,3.78,22.29,0.14,0.15,Ivory Coast,Ivory Coast,PASS
351770,fifwc-kor-civ-2026-06-25,Curaçao vs. Côte d'Ivoire,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,Ivory Coast,1897323,Will Côte d'Ivoire win on 2026-06-25?,0.795,0.783251,0.57818,0.700108,-0.094892,-0.119361,0.0,0,0.0,0.0,0,0.79,0.8,Ivory Coast,Ivory Coast,PASS
351769,fifwc-ecu-ger-2026-06-25,Ecuador vs. Germany,2026-06-25T20:00:00Z,Ecuador,Germany,Ecuador,1897311,Will Ecuador win on 2026-06-25?,0.195,0.19403,0.173898,0.185765,-0.009235,-0.04736,0.0,0,0.0,0.0,0,0.19,0.2,Germany,Germany,PASS
351769,fifwc-ecu-ger-2026-06-25,Ecuador vs. Germany,2026-06-25T20:00:00Z,Ecuador,Germany,Draw,1897312,Will Ecuador vs. Germany end in a draw?,0.255,0.253731,0.143736,0.206305,-0.048695,-0.190961,0.0,0,0.0,0.0,0,0.25,0.26,Germany,Germany,PASS
351769,fifwc-ecu-ger-2026-06-25,Ecuador vs. Germany,2026-06-25T20:00:00Z,Ecuador,Germany,Germany,1897315,Will Germany win on 2026-06-25?,0.555,0.552239,0.682366,0.610742,0.055742,0.100436,0.125263,0.02,20.0,20.0,16.04,0.55,0.56,Germany,Germany,YES
351771,fifwc-jpn-swe-2026-06-25,Japan vs. Sweden,2026-06-25T23:00:00Z,Japan,Sweden,Japan,1897329,Will Japan win on 2026-06-25?,0.475,0.46798,0.73444,0.588545,0.113545,0.239042,0.216276,0.02,20.0,20.0,22.11,0.47,0.48,Japan,Japan,YES
351771,fifwc-jpn-swe-2026-06-25,Japan vs. Sweden,2026-06-25T23:00:00Z,Japan,Sweden,Draw,1897330,Will Japan vs. Sweden end in a draw?,0.275,0.270936,0.128044,0.210684,-0.064316,-0.233875,0.0,0,0.0,0.0,0,0.27,0.28,Japan,Japan,PASS
