match_date,match_id,year,side,team,opponent,population,wealth_gdp_ppp,avg_temp_c,rank,population_score,wealth_score,climate_score,ranking_score,score_for,score_against,actual,city,host_country
2014-06-14,315,2014,a,Ivory Coast,Japan,24527395.0,4074.21445539789,26.4,23,0.5274415974650934,0.26007910215768504,0.5129102907232946,0.4141297960952067,2,1,win,Recife,Brazil
2014-06-14,315,2014,b,Japan,Ivory Coast,127276000.0,39555.4120089198,14.6,13,0.7194119147824656,0.7034335985835598,0.9879741303512339,0.5207366687435742,1,2,loss,Recife,Brazil
2014-06-14,316,2014,a,Uruguay,Costa Rica,3356334.0,21867.8112276315,17.6,9,0.2955545061842169,0.5878297680099359,0.9843217347761177,0.5894464086047984,1,3,loss,Fortaleza,Brazil
2014-06-14,316,2014,b,Costa Rica,Uruguay,4767119.0,16393.8095428323,24.8,52,0.33646446980162076,0.531633398128091,0.6200068879809457,0.2617061924967228,3,1,win,Fortaleza,Brazil
2014-06-15,317,2014,a,Argentina,Bosnia and Herzegovina,43024071.0,19487.4181748868,14.8,4,0.5929605623964699,0.5653508431557093,0.9911505004882849,0.7409695237531486,2,1,win,Rio de Janeiro,Brazil
2014-06-15,317,2014,b,Bosnia and Herzegovina,Argentina,3564829.0,11167.8379494776,10.9,29,0.30258090150763023,0.4567602033737907,0.851670507229441,0.370817434616976,1,2,loss,Rio de Janeiro,Brazil
2014-06-15,318,2014,a,France,Honduras,66312067.0,40218.1258637776,11.7,8,0.6433980326195498,0.7066744130693491,0.8921367932761701,0.6114542856297229,3,0,win,Porto Alegre,Brazil
2014-06-15,318,2014,b,Honduras,France,9063122.0,4460.05742833175,23.5,55,0.4113690668940279,0.2777279870523888,0.7066482778577162,0.2512258200256735,0,3,loss,Porto Alegre,Brazil
2014-06-15,319,2014,a,Switzerland,Ecuador,8188649.0,63417.0438110319,6.5,15,0.39953947723321254,0.7955032945282753,0.5728686816364933,0.4939981341875903,2,1,win,Brasília,Brazil
2014-06-15,319,2014,b,Ecuador,Switzerland,16035124.0,11835.6091276538,21.9,22,0.4778905527994508,0.46808769553758395,0.8066410193413683,0.4224356520170568,1,2,loss,Brasília,Brazil
2014-06-16,320,2014,a,Germany,Portugal,80982500.0,47938.7968210418,9.6,3,0.6666994895739902,0.7409267071639514,0.776592510126528,0.7947232043023992,4,0,win,Salvador,Brazil
2014-06-16,320,2014,b,Portugal,Germany,10401062.0,28764.5254955042,15.2,6,0.4274225932484136,0.6412983910296318,0.9960571761381909,0.6652079661789736,0,4,loss,Salvador,Brazil
2014-06-16,321,2014,a,Ghana,United States,28041592.0,5517.13178763566,27.2,37,0.5430525452713799,0.31921453400678157,0.46101671078353545,0.32529640685768524,1,2,loss,Natal,Brazil
2014-06-16,321,2014,b,United States,Ghana,319257560.0,55153.3940182967,8.6,11,0.826631112243845,0.7682714469430789,0.7131776783554898,0.5519508901404825,2,1,win,Natal,Brazil
2014-06-16,322,2014,a,Iran,Nigeria,81502045.0,16065.158186028,17.3,27,0.6674450746099564,0.5276834394683693,0.9896221268507549,0.38416961290719753,0,0,draw,Curitiba,Brazil
2014-06-16,322,2014,b,Nigeria,Iran,185896915.0,7396.12835532947,26.8,29,0.7635795288162461,0.3763835414674262,0.4867522559599716,0.370817434616976,0,0,draw,Curitiba,Brazil
2014-06-17,323,2014,a,Belgium,Algeria,11209057.0,45147.6429534057,10.7,21,0.43614504566360324,0.7292262037934082,0.8408053791958005,0.43112796307513745,2,1,win,Belo Horizonte,Brazil
2014-06-17,323,2014,b,Algeria,Belgium,39205031.0,14694.143827383,22.5,47,0.582123144838066,0.5102841961524675,0.7704330888993759,0.2805961021972452,1,2,loss,Belo Horizonte,Brazil
2014-06-17,324,2014,a,Brazil,Mexico,200085127.0,15827.3081625749,25.0,1,0.7721546621821516,0.5247740616202564,0.6065306597126334,1.0,0,0,draw,Fortaleza,Brazil
2014-06-17,324,2014,b,Mexico,Brazil,119784261.0,18820.7991098584,21.0,19,0.7123390150466901,0.5585618305763711,0.8569968914352789,0.44982865656530246,0,0,draw,Fortaleza,Brazil
2014-06-17,325,2014,a,Russia,South Korea,144237223.0,25688.2265625,-5.1,16,0.7339972582149379,0.6192362139928509,0.0640424024615019,0.48193904750629724,1,1,draw,Cuiabá,Brazil
2014-06-17,325,2014,b,South Korea,Russia,50746659.0,37032.1724172561,11.5,37,0.6122076458403084,0.6905767565769158,0.8824969025845955,0.32529640685768524,1,1,draw,Cuiabá,Brazil
2014-06-18,326,2014,a,Australia,Netherlands,23475686.0,47108.5906459966,21.7,34,0.5223320719397946,0.7375192233345459,0.8182760289835492,0.3410960386713825,2,3,loss,Curitiba,Brazil
2014-06-18,326,2014,b,Netherlands,Australia,16865008.0,49751.3092860822,10.4,5,0.48377352068496027,0.7481653516096424,0.8240037097874372,0.6992749298851911,3,2,win,Curitiba,Brazil
2014-06-18,327,2014,a,Cameroon,Croatia,22059893.0,3422.26128158344,24.6,55,0.5150798097890271,0.22606689851763986,0.6334696366573507,0.2512258200256735,0,4,loss,Manaus,Brazil
2014-06-18,327,2014,b,Croatia,Cameroon,4201598.0,22706.1799469484,11.9,20,0.32174203721081696,0.5951678362463477,0.9014367207433535,0.44024445363833975,4,0,win,Manaus,Brazil
2014-06-18,328,2014,a,Spain,Chile,46460733.0,33760.9555646369,13.3,2,0.6019201037428138,0.6725380828698713,0.9559974818331,0.8704847618765743,0,2,loss,Rio de Janeiro,Brazil
2014-06-18,328,2014,b,Chile,Spain,17864195.0,22553.6161787372,8.5,11,0.49048404452411987,0.5938528614113928,0.7066482778577162,0.5519508901404825,2,0,win,Rio de Janeiro,Brazil
2014-06-19,329,2014,a,Colombia,Ivory Coast,46565429.0,13355.3624162195,24.8,11,0.6021825314954018,0.4916508201428578,0.6200068879809457,0.5519508901404825,2,1,win,Brasília,Brazil
2014-06-19,329,2014,b,Ivory Coast,Colombia,24527395.0,4074.21445539789,26.4,21,0.5274415974650934,0.26007910215768504,0.5129102907232946,0.43112796307513745,1,2,loss,Brasília,Brazil
2014-06-19,330,2014,a,Japan,Greece,127276000.0,39555.4120089198,14.6,20,0.7194119147824656,0.7034335985835598,0.9879741303512339,0.44024445363833975,0,0,draw,Natal,Brazil
2014-06-19,330,2014,b,Greece,Japan,10892413.0,26450.181326726,15.4,22,0.4328041384695464,0.6249375853192393,0.9977802450856064,0.4224356520170568,0,0,draw,Natal,Brazil
2014-06-19,331,2014,a,Uruguay,England,3356334.0,21867.8112276315,17.6,12,0.2955545061842169,0.5878297680099359,0.9843217347761177,0.5356927280555478,2,1,win,São Paulo,Brazil
2014-06-19,331,2014,b,England,Uruguay,64620000.0,41266.8197795309,9.3,7,0.6403844694292071,0.7116952062343312,0.7579796312276883,0.6364047587727383,1,2,loss,São Paulo,Brazil
2014-06-20,332,2014,a,Honduras,Ecuador,9063122.0,4460.05742833175,23.5,59,0.4113690668940279,0.2777279870523888,0.7066482778577162,0.23810808466678612,1,2,loss,Curitiba,Brazil
2014-06-20,332,2014,b,Ecuador,Honduras,16035124.0,11835.6091276538,21.9,23,0.4778905527994508,0.46808769553758395,0.8066410193413683,0.4141297960952067,2,1,win,Curitiba,Brazil
2014-06-20,333,2014,a,Italy,Costa Rica,60320707.0,36665.68576775,13.5,13,0.6323575449011793,0.6886368364218327,0.962154491713458,0.5207366687435742,0,1,loss,Recife,Brazil
2014-06-20,333,2014,b,Costa Rica,Italy,4767119.0,16393.8095428323,24.8,43,0.33646446980162076,0.531633398128091,0.6200068879809457,0.2972160281740057,1,0,win,Recife,Brazil
2014-06-20,334,2014,a,Switzerland,France,8188649.0,63417.0438110319,6.5,14,0.39953947723321254,0.7955032945282753,0.5728686816364933,0.5068895206493126,2,5,loss,Salvador,Brazil
2014-06-20,334,2014,b,France,Switzerland,66312067.0,40218.1258637776,11.7,8,0.6433980326195498,0.7066744130693491,0.8921367932761701,0.6114542856297229,5,2,win,Salvador,Brazil
2014-06-21,335,2014,a,Argentina,Iran,43024071.0,19487.4181748868,14.8,4,0.5929605623964699,0.5653508431557093,0.9911505004882849,0.7409695237531486,1,0,win,Belo Horizonte,Brazil
2014-06-21,335,2014,b,Iran,Argentina,81502045.0,16065.158186028,17.3,27,0.6674450746099564,0.5276834394683693,0.9896221268507549,0.38416961290719753,0,1,loss,Belo Horizonte,Brazil
2014-06-21,336,2014,a,Germany,Ghana,80982500.0,47938.7968210418,9.6,3,0.6666994895739902,0.7409267071639514,0.776592510126528,0.7947232043023992,2,2,draw,Fortaleza,Brazil
2014-06-21,336,2014,b,Ghana,Germany,28041592.0,5517.13178763566,27.2,41,0.5430525452713799,0.31921453400678157,0.46101671078353545,0.30611537636325226,2,2,draw,Fortaleza,Brazil
2014-06-21,337,2014,a,Nigeria,Bosnia and Herzegovina,185896915.0,7396.12835532947,26.8,29,0.7635795288162461,0.3763835414674262,0.4867522559599716,0.370817434616976,1,0,win,Cuiabá,Brazil
2014-06-21,337,2014,b,Bosnia and Herzegovina,Nigeria,3564829.0,11167.8379494776,10.9,33,0.30258090150763023,0.4567602033737907,0.851670507229441,0.34667409444288166,0,1,loss,Cuiabá,Brazil
2014-06-22,338,2014,a,Belgium,Russia,11209057.0,45147.6429534057,10.7,18,0.43614504566360324,0.7292262037934082,0.8408053791958005,0.4599311704813728,1,0,win,Rio de Janeiro,Brazil
2014-06-22,338,2014,b,Russia,Belgium,144237223.0,25688.2265625,-5.1,19,0.7339972582149379,0.6192362139928509,0.0640424024615019,0.44982865656530246,0,1,loss,Rio de Janeiro,Brazil
2014-06-22,339,2014,a,South Korea,Algeria,50746659.0,37032.1724172561,11.5,34,0.6122076458403084,0.6905767565769158,0.8824969025845955,0.3410960386713825,2,4,loss,Porto Alegre,Brazil
2014-06-22,339,2014,b,Algeria,South Korea,39205031.0,14694.143827383,22.5,52,0.582123144838066,0.5102841961524675,0.7704330888993759,0.2617061924967228,4,2,win,Porto Alegre,Brazil
2014-06-22,340,2014,a,United States,Portugal,319257560.0,55153.3940182967,8.6,10,0.826631112243845,0.7682714469430789,0.7131776783554898,0.5697596917617653,2,2,draw,Manaus,Brazil
2014-06-22,340,2014,b,Portugal,United States,10401062.0,28764.5254955042,15.2,9,0.4274225932484136,0.6412983910296318,0.9960571761381909,0.5894464086047984,2,2,draw,Manaus,Brazil
