market_id,question,slug,market_type,team,group,yes_price,no_price,liquidity,volume,end_date,model_probability,calibrated_yes_probability,recommended_side,trade_probability,trade_price,edge,ev_per_dollar,full_kelly_fraction,deploy_fraction,deploy_amount,max_loss,profit_if_win
558958,Will Australia win the 2026 FIFA World Cup?,will-australia-win-the-2026-fifa-world-cup-816,outright_winner,Australia,,0.0015,0.9985,17083047.68875,50097852.488567784,2026-07-20T00:00:00Z,0.00165,0.001566,PASS,0.001566,0.0015,6.6e-05,0.043765,6.6e-05,0.0,0.0,0.0,0.0
840394,Will England win Group L in the 2026 FIFA World Cup?,will-england-win-group-l-in-the-2026-fifa-world-cup,group_winner,England,L,0.705,0.295,51689.1596,60580.049025999986,2026-06-27T00:00:00Z,0.74965,0.724541,PASS,0.724541,0.705,0.019541,0.027718,0.066241,0.0,0.0,0.0,0.0
839432,Will Ecuador win Group E in the 2026 FIFA World Cup?,will-ecuador-win-group-e-in-the-2026-fifa-world-cup,group_winner,Ecuador,E,0.215,0.785,57264.8468,53595.15171899997,2026-06-27T00:00:00Z,0.16565,0.193402,PASS,0.806598,0.785,0.021598,0.027514,0.100457,0.0,0.0,0.0,0.0
839400,Will Morocco win Group C in the 2026 FIFA World Cup?,will-morocco-win-group-c-in-the-2026-fifa-world-cup,group_winner,Morocco,C,0.215,0.785,58894.1252,153418.41782600057,2026-06-27T00:00:00Z,0.1659,0.193511,PASS,0.806489,0.785,0.021489,0.027374,0.099948,0.0,0.0,0.0,0.0
840398,Will Ghana win Group L in the 2026 FIFA World Cup?,will-ghana-win-group-l-in-the-2026-fifa-world-cup,group_winner,Ghana,L,0.06,0.94,46735.53041,25284.33120200002,2026-06-27T00:00:00Z,0.0014,0.034354,PASS,0.965646,0.94,0.025646,0.027283,0.427441,0.0,0.0,0.0,0.0
558935,Will England win the 2026 FIFA World Cup?,will-england-win-the-2026-fifa-world-cup-937,outright_winner,England,,0.0965,0.9035,6599721.93837,35459449.56606153,2026-07-20T00:00:00Z,0.04195,0.072626,PASS,0.927374,0.9035,0.023874,0.026424,0.247399,0.0,0.0,0.0,0.0
558940,Will Portugal win the 2026 FIFA World Cup?,will-portugal-win-the-2026-fifa-world-cup-912,outright_winner,Portugal,,0.1075,0.8925,5206954.96039,43170941.736432284,2026-07-20T00:00:00Z,0.0585,0.086055,PASS,0.913945,0.8925,0.021445,0.024028,0.199488,0.0,0.0,0.0,0.0
558937,Will Brazil win the 2026 FIFA World Cup?,will-brazil-win-the-2026-fifa-world-cup-183,outright_winner,Brazil,,0.0835,0.9165,6437896.03726,37229063.115681626,2026-07-20T00:00:00Z,0.03725,0.063259,PASS,0.936741,0.9165,0.020241,0.022086,0.242412,0.0,0.0,0.0,0.0
839437,Will Tunisia win Group F in the 2026 FIFA World Cup?,will-tunisia-win-group-f-in-the-2026-fifa-world-cup,group_winner,Tunisia,F,0.048,0.952,47606.3264,58200.26379299986,2026-06-27T00:00:00Z,0.00765,0.030341,PASS,0.969659,0.952,0.017659,0.01855,0.367902,0.0,0.0,0.0,0.0
840172,Will the Democratic Republic of Congo win Group K in the 2026 FIFA World Cup?,will-the-democratic-republic-of-congo-win-group-k-in-the-2026-fifa-world-cup,group_winner,Congo DR,K,0.0365,0.9635,45439.53426,40374.64697400001,2026-06-27T00:00:00Z,0.00085,0.020898,PASS,0.979102,0.9635,0.015602,0.016193,0.427461,0.0,0.0,0.0,0.0
558941,Will Netherlands win the 2026 FIFA World Cup?,will-netherlands-win-the-2026-fifa-world-cup-739,outright_winner,Netherlands,,0.0485,0.9515,2061615.01209,43307331.78863492,2026-07-20T00:00:00Z,0.02475,0.038106,PASS,0.961894,0.9515,0.010394,0.010924,0.214315,0.0,0.0,0.0,0.0
558936,Will France win the 2026 FIFA World Cup?,will-france-win-the-2026-fifa-world-cup-924,outright_winner,France,,0.1605,0.8395,5879799.52614,47503307.46245919,2026-07-20T00:00:00Z,0.141,0.151966,PASS,0.848034,0.8395,0.008534,0.010166,0.053173,0.0,0.0,0.0,0.0
558951,Will Norway win the 2026 FIFA World Cup?,will-norway-win-the-2026-fifa-world-cup-893,outright_winner,Norway,,0.0245,0.9755,1260757.80474,43623000.09889991,2026-07-20T00:00:00Z,0.002,0.014653,PASS,0.985347,0.9755,0.009847,0.010095,0.401926,0.0,0.0,0.0,0.0
839972,Will Jordan win Group J in the 2026 FIFA World Cup?,will-jordan-win-group-j-in-the-2026-fifa-world-cup,group_winner,Jordan,J,0.0165,0.9835,53936.65793,29593.298368999982,2026-06-27T00:00:00Z,0.0023,0.010285,PASS,0.989715,0.9835,0.006215,0.006319,0.376647,0.0,0.0,0.0,0.0
839402,Will Scotland win Group C in the 2026 FIFA World Cup?,will-scotland-win-group-c-in-the-2026-fifa-world-cup,group_winner,Scotland,C,0.0715,0.9285,70663.95997,225498.24209199994,2026-06-27T00:00:00Z,0.05925,0.066139,PASS,0.933861,0.9285,0.005361,0.005774,0.074982,0.0,0.0,0.0,0.0
558963,Will Morocco win the 2026 FIFA World Cup?,will-morocco-win-the-2026-fifa-world-cup-464,outright_winner,Morocco,,0.0155,0.9845,1769329.27094,47834732.44371376,2026-07-20T00:00:00Z,0.0026,0.009854,PASS,0.990146,0.9845,0.005646,0.005735,0.36424,0.0,0.0,0.0,0.0
558946,Will Belgium win the 2026 FIFA World Cup?,will-belgium-win-the-2026-fifa-world-cup-358,outright_winner,Belgium,,0.0205,0.9795,2628371.31487,45362583.24343067,2026-07-20T00:00:00Z,0.0083,0.015161,PASS,0.984839,0.9795,0.005339,0.005451,0.260457,0.0,0.0,0.0,0.0
558939,Will Germany win the 2026 FIFA World Cup?,will-germany-win-the-2026-fifa-world-cup-467,outright_winner,Germany,,0.0515,0.9485,2368825.85209,40052728.611228086,2026-07-20T00:00:00Z,0.04095,0.046883,PASS,0.953117,0.9485,0.004617,0.004868,0.089655,0.0,0.0,0.0,0.0
558945,Will Mexico win the 2026 FIFA World Cup?,will-mexico-win-the-2026-fifa-world-cup-529,outright_winner,Mexico,,0.0135,0.9865,2025130.4072,50070601.91877643,2026-07-20T00:00:00Z,0.0032,0.008992,PASS,0.991008,0.9865,0.004508,0.00457,0.333913,0.0,0.0,0.0,0.0
